merchant_id,business_category,account_age_days,monthly_txn_count,avg_transaction_value,monthly_txn_volume,refund_rate,chargeback_rate,volume_growth_rate_30d,customer_complaint_count,risk_score,is_risky
M00023,Electronics,353,2607,6271.7,16350317.33,0.1108,0.0144,0.06,3,53.4,0
M00024,Healthcare,1525,1043,1715.42,1789180.58,0.0216,0.03,-10.56,0,18.39,0
M00025,Travel,1447,1398,2703.09,3778918.67,0.1596,0.0124,8.8,2,45.67,0
M00026,Services,815,3394,4087.64,13873441.04,0.1247,0.0089,0.09,1,22.63,0
M00027,Electronics,395,1539,468.17,720516.11,0.1291,0.0685,-10.5,3,65.02,1
M00028,Healthcare,1225,246,2684.02,660269.73,0.0647,0.0251,-0.66,4,46.42,0
M00029,Electronics,965,4988,2640.63,13171455.36,0.1906,0.0051,27.16,3,77.98,1
M00030,Travel,286,911,2564.16,2335954.0,0.1595,0.0421,-23.43,3,66.74,1
M00031,Healthcare,1194,4092,6373.01,26078371.76,0.0731,0.0233,-8.25,0,23.87,0
M00032,Gaming,469,2277,2554.71,5817068.16,0.0571,0.0339,13.56,1,52.5,0
M00033,Retail,1347,2808,391.68,1099839.23,0.0756,0.0259,-9.71,1,12.09,0
M00034,Food & Beverage,31,416,6753.99,2809658.41,0.0077,0.0667,36.65,1,80.95,1
M00035,Crypto/Trading,262,2098,1916.47,4020747.64,0.054,0.0097,33.92,4,58.53,0
M00036,Education,757,4764,1410.63,6720245.47,0.0877,0.0245,35.25,2,68.87,1
M00037,Crypto/Trading,866,4444,1991.04,8848171.24,0.0457,0.1343,21.4,0,90.74,1
M00038,Services,1594,3257,9108.66,29666906.64,0.1416,0.0129,29.42,4,63.21,0
M00039,Crypto/Trading,484,3913,692.27,2708861.3,0.0904,0.0202,5.6,2,53.26,0
M00040,Healthcare,1092,2025,4472.37,9056545.43,0.0742,0.0351,-9.13,2,35.2,0
M00041,Gaming,520,2036,2222.97,4525975.2,0.0133,0.0545,-7.69,4,44.77,0
M00042,Food & Beverage,1715,3191,4353.52,13892068.32,0.0178,0.0975,-33.78,3,58.53,0
M00043,Retail,1509,2688,793.18,2132078.52,0.0077,0.1091,-3.73,2,52.85,0
M00044,Retail,709,1898,2795.83,5306494.73,0.0609,0.0402,-2.25,2,54.91,0
M00045,Travel,985,1216,2695.72,3277993.83,0.1139,0.0277,0.74,1,42.02,0
M00046,Education,1816,1792,2695.66,4830615.36,0.1148,0.006,68.06,2,86.32,1
M00047,Electronics,199,181,907.22,164207.23,0.0374,0.0308,-13.14,3,52.4,0
M00048,Gaming,967,3996,1722.2,6881928.64,0.0598,0.026,-0.48,5,44.1,0
M00049,Electronics,696,1771,3349.59,5932117.25,0.0339,0.122,58.86,5,100.0,1
M00050,Food & Beverage,967,795,170.9,135867.81,0.0627,0.0151,-12.2,1,33.82,0
M00051,Crypto/Trading,572,959,756.83,725797.54,0.1244,0.0397,-20.74,1,61.34,0
M00052,Retail,1909,3240,3054.82,9897623.66,0.2135,0.0169,0.23,0,37.77,0
M00053,Food & Beverage,1600,559,3656.32,2043880.46,0.0596,0.0421,-12.28,2,43.74,0
M00054,Crypto/Trading,1277,4937,2384.65,11773036.98,0.137,0.0066,32.31,1,49.9,0
M00055,Retail,841,1481,3285.78,4866243.99,0.063,0.0225,8.76,2,44.24,0
M00056,Crypto/Trading,1538,375,1852.13,694548.38,0.0662,0.0073,-22.34,1,18.18,0
M00057,Education,1164,3624,6298.33,22825154.14,0.1204,0.0185,12.98,0,31.59,0
M00058,Gaming,1518,3343,8570.54,28651314.78,0.0412,0.0501,9.85,4,54.09,0
M00059,Services,1852,254,823.57,209185.69,0.0068,0.0102,-29.33,2,5.48,0
M00060,Food & Beverage,656,1568,1570.91,2463193.64,0.0677,0.0464,16.15,1,61.1,0
M00061,Food & Beverage,30,2116,5906.04,12497182.43,0.0861,0.0709,17.48,2,72.99,1
M00062,Fashion,850,4233,2521.94,10675357.9,0.13,0.1008,-28.65,1,60.92,0
M00063,Healthcare,176,2121,5049.41,10709807.36,0.1519,0.0071,-25.29,1,41.16,0
M00064,Education,1307,1693,16674.2,28229424.97,0.0393,0.0089,-3.75,2,30.66,0
M00065,Education,397,2120,2172.57,4605853.5,0.056,0.0224,-10.55,3,41.11,0
M00066,Electronics,610,3677,2568.36,9443866.33,0.17,0.0975,19.91,1,97.63,1
M00067,Crypto/Trading,325,4673,105.19,491539.25,0.0433,0.014,-5.82,2,35.98,0
M00068,Healthcare,23,3616,8182.25,29587008.06,0.0175,0.0749,0.6,3,62.64,0
M00069,Gaming,251,3768,5292.06,19940470.39,0.0357,0.033,-21.46,1,54.02,0
M00070,Gaming,786,3193,5650.63,18042447.14,0.0609,0.0586,28.71,1,70.33,1
M00071,Education,1379,1835,3760.61,6900720.01,0.1376,0.0741,-13.99,0,41.24,0
M00072,Gaming,574,3861,2472.13,9544891.0,0.0811,0.0229,-20.79,2,38.59,0
M00073,Fashion,907,2025,6518.29,13199538.93,0.1291,0.0936,6.29,0,73.32,1
M00074,Food & Beverage,1373,4513,1089.74,4917993.85,0.0632,0.0144,31.84,2,42.89,0
M00075,Travel,101,694,7260.87,5039043.37,0.0556,0.1083,16.32,0,81.8,1
M00076,Services,1400,406,1783.94,724280.61,0.0207,0.0133,-9.11,2,18.63,0
M00077,Electronics,965,2178,2505.49,5456950.08,0.1027,0.0546,-5.13,2,67.79,1
M00078,Crypto/Trading,1488,2681,3486.9,9348391.0,0.0032,0.0246,-28.74,7,31.02,0
M00079,Services,1461,2084,3470.25,7232005.75,0.0592,0.0869,53.12,2,100.0,1
M00080,Crypto/Trading,518,3871,4768.04,18457083.58,0.1204,0.0236,43.79,3,85.2,1
M00081,Retail,785,3273,993.76,3252585.3,0.1458,0.0142,12.21,3,65.36,1
M00082,Services,1976,4999,3237.92,16186353.45,0.0216,0.0404,4.7,1,37.56,0
M00083,Travel,44,4656,4489.24,20901880.59,0.3614,0.0262,-23.15,2,93.3,1
M00084,Education,215,4286,925.46,3966527.1,0.0357,0.0413,1.35,1,43.34,0
M00085,Fashion,1114,759,2566.04,1947620.85,0.1251,0.1174,27.28,1,100.0,1
M00086,Food & Beverage,1965,1421,8639.36,12276524.57,0.066,0.018,23.23,1,27.31,0
M00087,Food & Beverage,1595,3279,2276.58,7464896.56,0.065,0.012,-6.26,1,22.99,0
M00088,Fashion,1905,2297,6268.87,14399602.9,0.1348,0.0099,25.02,5,50.16,0
M00089,Healthcare,1421,3924,3137.55,12311748.08,0.1104,0.0249,33.93,3,74.85,1
M00090,Retail,1035,3943,10246.87,40403411.97,0.034,0.0408,5.86,0,36.54,0
M00091,Crypto/Trading,1031,4234,2912.67,12332243.43,0.1527,0.0529,29.55,1,79.82,1
M00092,Travel,1423,3247,3436.53,11158398.93,0.1277,0.0454,46.26,0,77.13,1
M00093,Gaming,575,2851,6390.41,18219066.97,0.0696,0.0136,52.88,2,83.86,1
M00094,Services,1139,3778,1475.62,5574903.23,0.0357,0.1004,-10.01,2,45.85,0
M00095,Retail,1805,2532,2104.18,5327795.13,0.0782,0.0288,16.08,1,56.3,0
M00096,Services,1855,2171,12090.31,26248059.13,0.0657,0.0144,22.58,3,42.99,0
M00097,Travel,1510,3695,1890.17,6984173.93,0.1205,0.09,4.53,2,58.22,0
M00098,Electronics,712,2765,3608.52,9977549.41,0.3251,0.0195,36.09,2,83.28,1
M00099,Electronics,411,3886,4826.42,18755460.77,0.074,0.0553,6.4,1,55.9,0
M00100,Retail,739,3784,9564.76,36193064.74,0.0529,0.0221,1.18,1,35.18,0
M00101,Education,1589,2242,545.85,1223791.65,0.0554,0.0723,-27.86,0,43.78,0
M00102,Travel,171,2812,1229.93,3458568.22,0.052,0.0103,-37.25,4,30.61,0
M00103,Travel,211,1717,5615.94,9642576.12,0.0765,0.0723,-3.75,2,54.43,0
M00104,Fashion,1991,3482,9710.98,33813640.25,0.0634,0.0525,-67.52,2,47.43,0
M00105,Education,1005,4083,5644.46,23046343.65,0.0956,0.0251,36.11,1,53.79,0
M00106,Crypto/Trading,279,1544,1069.57,1651422.85,0.0399,0.0701,27.22,4,85.91,1
M00107,Crypto/Trading,1896,4780,2130.7,10184729.79,0.0741,0.03,22.25,2,44.88,0
M00108,Gaming,825,52,5545.27,288354.06,0.1732,0.0503,32.82,4,91.81,1
M00109,Food & Beverage,1304,4045,1301.19,5263321.06,0.0602,0.0134,-1.89,0,19.16,0
M00110,Electronics,465,2586,7608.53,19675647.08,0.1332,0.0148,10.53,3,54.36,0
M00111,Crypto/Trading,1495,2823,3493.14,9861132.69,0.2544,0.0779,-4.28,4,81.8,1
M00112,Education,1760,3916,860.42,3369420.24,0.1816,0.0259,32.73,3,83.18,1
M00113,Travel,1285,3729,5098.33,19011662.15,0.1326,0.0238,-58.79,6,51.32,0
M00114,Crypto/Trading,1026,739,2703.01,1997526.95,0.1956,0.0708,32.72,1,86.83,1
M00115,Travel,1735,4599,2095.22,9635925.89,0.1005,0.057,-40.52,3,48.85,0
M00116,Crypto/Trading,305,992,1398.46,1387268.61,0.271,0.0183,-0.15,1,59.45,0
M00117,Electronics,1758,3738,2585.04,9662868.56,0.056,0.022,-21.24,2,16.92,0
M00118,Services,729,4422,2847.29,12590729.27,0.0514,0.0391,1.6,2,54.96,0
M00119,Crypto/Trading,1782,4572,3892.96,17798591.16,0.0201,0.0107,-8.82,0,8.01,0
M00120,Education,347,2227,1312.71,2923396.58,0.0501,0.0844,-4.62,4,59.58,0
M00121,Crypto/Trading,888,4446,1523.97,6775585.06,0.0675,0.0061,18.68,1,40.8,0
M00122,Food & Beverage,1086,4340,8308.72,36059856.72,0.0296,0.0084,10.62,3,34.96,0
M00123,Electronics,801,3050,928.21,2831038.33,0.0713,0.0463,29.98,0,63.52,0
M00124,Education,1955,3595,6047.53,21740869.74,0.1036,0.0083,15.46,3,36.77,0
M00125,Fashion,226,3136,582.1,1825451.13,0.1252,0.0357,-34.73,3,48.69,0
M00126,Education,773,3305,5923.54,19577308.61,0.0933,0.0256,63.79,2,90.21,1
M00127,Food & Beverage,197,663,733.76,486484.83,0.2015,0.0648,-44.64,1,70.83,1
M00128,Services,389,4731,6001.88,28394895.54,0.1082,0.0122,12.86,0,46.53,0
M00129,Electronics,502,214,2438.03,521739.32,0.1815,0.0217,23.4,2,78.99,1
M00130,Fashion,1074,4016,2396.55,9624533.17,0.008,0.0348,12.32,2,54.27,0
M00131,Food & Beverage,1190,508,11693.35,5940223.15,0.114,0.0256,-0.0,5,56.62,0
M00132,Food & Beverage,24,2224,900.67,2003087.41,0.0903,0.019,42.16,4,64.9,0
M00133,Retail,1846,2677,2427.04,6497173.39,0.0506,0.0669,33.08,3,73.12,1
M00134,Electronics,74,3296,4474.58,14748210.2,0.1027,0.0262,4.47,0,60.84,0
M00135,Education,1890,1122,5168.52,5799074.06,0.0165,0.041,-6.23,4,30.84,0
M00136,Travel,1872,1261,9714.2,12249603.52,0.143,0.016,-15.43,0,41.59,0
M00137,Services,530,535,683.68,365766.99,0.1874,0.0207,-13.44,1,45.27,0
M00138,Travel,1377,412,8801.49,3626212.32,0.0778,0.0111,3.5,2,24.12,0
M00139,Education,1162,650,1318.92,857296.62,0.0528,0.0287,-36.39,2,32.43,0
M00140,Education,657,3736,1494.83,5584667.93,0.1615,0.0113,4.83,1,47.85,0
M00141,Electronics,1505,1867,6596.3,12315301.12,0.0352,0.0004,25.08,3,46.13,0
M00142,Education,1096,2675,7759.65,20757064.97,0.0207,0.0035,-9.08,2,19.55,0
M00143,Retail,1172,999,1610.95,1609341.79,0.0388,0.0627,4.43,1,44.87,0
M00144,Fashion,1532,4549,5395.61,24544638.99,0.116,0.0302,12.69,4,76.13,1
M00145,Education,602,3422,2421.27,8285568.87,0.0927,0.0103,17.11,6,57.48,0
M00146,Travel,401,3891,2938.62,11434186.45,0.0667,0.029,-0.0,6,65.9,1
M00147,Education,1708,297,2418.51,718296.68,0.1594,0.0106,49.02,1,76.59,1
M00148,Retail,428,252,907.4,228665.63,0.1079,0.0019,5.09,3,42.81,0
M00149,Crypto/Trading,298,1572,3373.16,5302611.62,0.0516,0.0599,-28.24,3,59.79,0
M00150,Crypto/Trading,388,3290,2052.09,6751371.55,0.0692,0.0275,-4.64,4,42.95,0
M00151,Food & Beverage,1806,2429,7547.64,18333227.95,0.0626,0.0307,37.45,1,57.28,0
M00152,Services,1523,3532,4734.59,16722559.73,0.164,0.0141,35.49,3,72.39,1
M00153,Gaming,240,45,6106.39,274787.46,0.1606,0.0612,-37.99,2,75.99,1
M00154,Fashion,1027,480,2655.66,1274718.33,0.0323,0.0255,-2.44,3,32.83,0
M00155,Healthcare,50,3784,2400.2,9082341.29,0.1073,0.0321,-8.19,6,79.77,1
M00156,Food & Beverage,1061,3451,2950.03,10180536.74,0.0193,0.0186,24.48,1,35.23,0
M00157,Services,144,3503,11190.36,39199832.55,0.0168,0.0138,-23.45,1,24.07,0
M00158,Crypto/Trading,210,2014,1293.81,2605739.91,0.0804,0.0062,44.0,1,72.55,1
M00159,Travel,1873,510,2456.22,1252674.12,0.1368,0.0204,-31.75,2,29.49,0
M00160,Healthcare,789,1092,2299.96,2511553.04,0.0236,0.0695,1.5,7,71.01,1
M00161,Services,939,3193,5935.98,18953592.36,0.0512,0.0105,-25.12,2,39.01,0
M00162,Services,1066,235,3452.51,811339.18,0.0826,0.0576,21.42,2,63.77,0
M00163,Food & Beverage,1081,1743,1960.59,3417304.29,0.1974,0.0331,-46.45,3,61.73,0
M00164,Healthcare,512,1612,6850.78,11043462.16,0.15,0.0465,0.71,1,64.76,0
M00165,Electronics,416,2626,7659.23,20113133.69,0.0673,0.0582,0.22,2,62.44,0
M00166,Gaming,1607,178,8311.65,1479474.53,0.0796,0.0183,-17.4,1,54.03,0
M00167,Electronics,1761,4801,2690.09,12915138.42,0.071,0.0211,35.47,2,45.0,0
M00168,Healthcare,814,3333,4677.84,15591239.17,0.0259,0.0735,47.59,2,100.0,1
M00169,Electronics,108,2861,2488.63,7119960.26,0.0181,0.0414,-5.07,2,39.04,0
M00170,Retail,693,1796,4207.25,7556216.58,0.231,0.0628,8.23,2,80.6,1
M00171,Crypto/Trading,1905,2072,4498.84,9321588.66,0.0236,0.0978,-10.43,1,47.75,0
M00172,Retail,735,2315,2415.33,5591487.03,0.1524,0.0466,-26.58,1,57.66,0
M00173,Education,1580,1716,2956.42,5073219.61,0.0435,0.0353,-22.94,3,43.84,0
M00174,Electronics,970,3013,1662.26,5008394.2,0.1685,0.0551,-22.28,2,51.85,0
M00175,Education,1772,2489,1277.22,3179006.08,0.0871,0.0349,36.23,5,49.47,0
M00176,Travel,622,1966,3296.41,6480737.06,0.1025,0.0255,15.75,2,73.42,1
M00177,Fashion,1976,3829,3008.52,11519621.8,0.065,0.0422,-18.83,2,21.37,0
M00178,Travel,1495,2803,2419.05,6780593.41,0.0337,0.0094,-16.59,2,27.89,0
M00179,Healthcare,652,3664,5458.75,20000876.19,0.0089,0.016,-19.93,1,35.38,0
M00180,Services,1802,2520,3421.81,8622958.12,0.1173,0.0771,-41.96,2,65.48,1
M00181,Crypto/Trading,1038,3665,3788.79,13885913.43,0.103,0.0393,17.98,1,62.25,0
M00182,Electronics,1251,2665,8771.62,23376361.74,0.1907,0.0101,1.82,3,56.54,0
M00183,Food & Beverage,512,2369,8089.04,19162926.1,0.0063,0.0183,47.74,2,63.17,0
M00184,Fashion,776,1952,4928.17,9619795.1,0.0541,0.0124,-47.09,1,12.99,0
M00185,Gaming,407,3314,6551.35,21711161.92,0.0384,0.0124,26.21,0,44.85,0
M00186,Gaming,880,1777,557.29,990297.51,0.08,0.0283,28.42,2,58.91,0
M00187,Gaming,804,1136,5503.67,6252167.81,0.2309,0.0142,31.71,3,79.1,1
M00188,Electronics,402,2587,2959.73,7656830.55,0.0623,0.0399,11.14,0,50.61,0
M00189,Gaming,216,3519,5371.48,18902250.88,0.0233,0.0375,28.07,1,46.21,0
M00190,Retail,1048,512,1696.18,868444.64,0.1026,0.0542,12.64,0,66.73,1
M00191,Fashion,1891,3326,2354.51,7831089.99,0.1829,0.0198,-13.71,1,38.89,0
M00192,Retail,1587,639,2174.37,1389421.62,0.1794,0.0284,-5.03,2,44.45,0
M00193,Services,901,3252,2823.82,9183068.78,0.0157,0.0063,-5.7,5,28.4,0
M00194,Fashion,1494,3843,5702.54,21914856.7,0.0509,0.0127,34.1,1,46.79,0
M00195,Retail,1724,2400,1307.23,3137357.14,0.0156,0.0753,36.99,3,65.54,1
M00196,Fashion,1608,1566,3109.81,4869969.05,0.2802,0.0087,25.36,0,61.41,0
M00197,Services,873,4978,3682.85,18333225.37,0.2132,0.0443,6.53,3,64.76,0
M00198,Education,752,3583,992.52,3556199.33,0.0856,0.0343,-46.44,1,30.68,0
M00199,Electronics,1274,1625,3620.04,5882562.47,0.0929,0.0904,25.59,2,76.99,1
M00200,Electronics,573,3772,1883.51,7104606.94,0.1015,0.0926,24.54,1,87.99,1
M00201,Gaming,1030,4695,3010.64,14134935.37,0.1067,0.0214,12.12,3,61.76,0
M00202,Travel,105,1910,6956.52,13286947.59,0.033,0.0735,16.98,2,60.29,0
M00203,Gaming,1933,1295,2979.75,3858781.35,0.0458,0.0556,-15.29,2,43.1,0
M00204,Healthcare,1767,2763,7675.73,21208044.2,0.0146,0.0151,-3.58,1,0.69,0
M00205,Retail,494,2513,2511.02,6310191.27,0.0827,0.0336,-15.52,2,47.67,0
M00206,Fashion,1440,376,1596.9,600435.67,0.1277,0.0646,1.12,2,45.34,0
M00207,Travel,240,889,4486.5,3988502.73,0.0856,0.0451,26.93,2,65.89,1
M00208,Services,758,905,3883.5,3514571.94,0.2185,0.0924,15.97,1,100.0,1
M00209,Healthcare,1688,2021,4938.05,9979801.8,0.0427,0.0472,-21.11,1,33.86,0
M00210,Services,1204,1303,2254.21,2937240.74,0.0692,0.0161,50.8,1,74.42,1
M00211,Electronics,550,639,5418.13,3462182.91,0.0377,0.0298,9.33,1,35.09,0
M00212,Electronics,1069,902,1670.01,1506350.59,0.1681,0.0266,-11.85,3,62.15,0
M00213,Gaming,534,816,15911.46,12983747.37,0.1302,0.0361,-2.53,1,64.13,0
M00214,Retail,1193,3662,5470.97,20034706.92,0.0131,0.0323,-8.87,2,30.82,0
M00215,Travel,1872,3445,5966.1,20553219.17,0.0589,0.0406,10.65,0,20.59,0
M00216,Crypto/Trading,1732,1316,6241.22,8213442.49,0.0734,0.0342,-28.07,2,17.92,0
M00217,Healthcare,1276,4734,5712.28,27041945.85,0.0929,0.0339,12.36,1,48.85,0
M00218,Healthcare,1119,264,1369.63,361582.66,0.1144,0.0389,26.0,3,66.76,1
M00219,Gaming,1829,2915,3673.61,10708573.53,0.1719,0.0065,21.49,1,42.31,0
M00220,Electronics,587,949,2789.67,2647400.31,0.1956,0.0071,11.62,4,66.29,1
M00221,Gaming,691,539,4118.86,2220066.93,0.0604,0.023,19.39,2,49.99,0
M00222,Fashion,566,3232,3788.81,12245425.47,0.0203,0.014,14.81,6,51.53,0
M00223,Travel,1607,2429,1598.75,3883358.58,0.0174,0.0495,31.17,6,62.22,0
M00224,Retail,1986,27,6372.2,172049.37,0.0388,0.0147,-0.99,3,36.66,0
M00225,Education,1022,2545,9729.56,24761733.55,0.0604,0.0232,-17.84,1,22.42,0
M00226,Food & Beverage,655,3443,2546.94,8769113.53,0.1051,0.0028,14.14,0,39.5,0
M00227,Food & Beverage,805,2039,4203.95,8571849.04,0.1076,0.0054,32.09,2,45.58,0
M00228,Gaming,1061,4610,4572.53,21079353.01,0.0258,0.0252,-4.76,2,20.07,0
M00229,Fashion,1653,4302,2108.95,9072689.23,0.0539,0.0517,44.94,2,63.79,0
M00230,Travel,1589,3687,3441.53,12688902.83,0.1129,0.041,14.54,2,50.77,0
M00231,Crypto/Trading,1373,3691,589.13,2174484.89,0.115,0.032,28.21,2,62.89,0
M00232,Food & Beverage,1831,2821,4736.07,13360452.9,0.0339,0.0434,-24.04,2,26.74,0
M00233,Travel,1991,105,6740.01,707700.95,0.202,0.0362,24.77,0,60.32,0
M00234,Retail,1364,3135,2647.8,8300850.48,0.0442,0.0487,16.7,0,47.53,0
M00235,Services,1673,4252,2371.87,10085197.46,0.065,0.0303,57.8,3,82.71,1
M00236,Fashion,1539,2488,6066.98,15094647.26,0.0396,0.0402,17.9,4,33.89,0
M00237,Electronics,1381,3639,933.4,3396659.55,0.127,0.0141,21.35,3,65.41,1
M00238,Travel,1506,1656,3763.03,6231585.6,0.0132,0.0075,-15.5,1,15.01,0
M00239,Retail,1264,3603,1979.33,7131510.37,0.1352,0.0328,12.93,1,38.45,0
M00240,Crypto/Trading,199,4029,1038.77,4185216.93,0.1442,0.0694,33.64,2,100.0,1
M00241,Education,1258,3346,5178.54,17327385.73,0.0573,0.0849,-3.67,0,58.12,0
M00242,Electronics,1418,2238,5834.09,13056685.33,0.0899,0.0222,-12.8,1,15.28,0
M00243,Education,1410,2237,1395.34,3121384.33,0.1577,0.0251,55.22,10,100.0,1
M00244,Crypto/Trading,1316,4987,6274.15,31289199.91,0.1042,0.0919,-1.94,3,70.34,1
M00245,Retail,1991,2389,4665.73,11146429.09,0.0901,0.0243,27.63,2,60.0,0
M00246,Food & Beverage,642,3658,1417.18,5184048.37,0.1602,0.1011,-6.95,1,84.97,1
M00247,Education,637,2523,1099.8,2774805.8,0.1085,0.0271,-5.95,2,42.23,0
M00248,Electronics,982,963,9983.91,9614507.55,0.2505,0.099,1.93,0,80.25,1
M00249,Gaming,1778,2857,2916.4,8332146.43,0.0299,0.026,19.33,2,26.73,0
M00250,Healthcare,1292,2680,784.5,2102456.91,0.1003,0.0777,34.2,2,79.16,1
M00251,Travel,1392,2956,3110.46,9194506.73,0.1022,0.086,-9.02,5,75.12,1
M00252,Food & Beverage,719,4464,2526.86,11279895.93,0.1239,0.0329,33.02,0,78.34,1
M00253,Education,1489,3967,3337.81,13241105.87,0.1302,0.014,8.46,5,48.99,0
M00254,Services,1444,1696,3563.47,6043637.82,0.1065,0.0182,0.6,6,56.06,0
M00255,Travel,658,1216,2533.32,3080518.12,0.1056,0.0518,18.99,2,74.42,1
M00256,Gaming,327,4125,9303.15,38375497.03,0.0896,0.0674,40.73,3,100.0,1
M00257,Crypto/Trading,1710,2807,2762.35,7753916.94,0.109,0.0216,17.89,1,30.52,0
M00258,Healthcare,1258,1481,908.96,1346177.03,0.0753,0.1278,-13.16,4,80.07,1
M00259,Retail,1852,3338,10188.41,34008904.32,0.0258,0.0488,8.65,3,42.48,0
M00260,Gaming,1267,686,1432.98,983023.13,0.1177,0.0512,19.05,0,75.49,1
M00261,Gaming,693,2196,1950.64,4283613.7,0.0581,0.0081,-9.83,4,25.4,0
M00262,Crypto/Trading,673,3763,5359.88,20169211.2,0.0912,0.0554,12.02,2,57.0,0
M00263,Fashion,1860,620,1869.03,1158796.46,0.0318,0.0167,-12.96,3,22.29,0
M00264,Crypto/Trading,1407,2672,1625.89,4344377.77,0.0843,0.0141,20.86,1,34.13,0
M00265,Fashion,1705,4442,5843.68,25957642.83,0.0421,0.0414,41.61,3,66.12,1
M00266,Fashion,1641,3844,4637.83,17827833.3,0.0354,0.0078,2.98,0,1.3,0
M00267,Food & Beverage,1505,3926,7910.55,31056823.09,0.1947,0.1119,23.64,2,100.0,1
M00268,Food & Beverage,1266,999,3370.89,3367516.13,0.0391,0.0609,30.62,1,78.51,1
M00269,Electronics,1725,2471,191.76,473840.45,0.0993,0.0737,-5.73,3,69.86,1
M00270,Education,1146,648,1691.46,1096064.35,0.0424,0.0132,15.58,2,39.9,0
M00271,Education,1863,1649,12232.9,20172043.94,0.0157,0.0483,33.46,3,60.22,0
M00272,Retail,1530,3716,4929.21,18316951.7,0.1999,0.0105,45.92,3,84.54,1
M00273,Education,451,3450,6217.53,21450467.59,0.0825,0.0825,-1.96,1,70.76,1
M00274,Food & Beverage,573,3694,10982.03,40567634.8,0.0185,0.043,-23.18,5,59.34,0
M00275,Electronics,1301,3949,5423.02,21415502.11,0.0198,0.0338,19.59,1,47.87,0
M00276,Electronics,1543,2785,4922.2,13708323.4,0.2309,0.0136,10.72,1,58.15,0
M00277,Fashion,1840,4389,6335.16,27805036.77,0.1011,0.0083,5.76,1,33.34,0
M00278,Crypto/Trading,1419,4800,4669.12,22411793.02,0.1162,0.0179,-7.98,2,36.34,0
M00279,Retail,1420,135,3148.76,425082.38,0.0192,0.0117,27.1,0,24.32,0
M00280,Fashion,1146,4976,3703.1,18426605.3,0.1165,0.0292,-9.72,1,35.95,0
M00281,Crypto/Trading,1646,2023,5457.33,11040169.06,0.0939,0.0185,-11.88,3,35.75,0
M00282,Education,1658,712,1525.34,1086038.93,0.0239,0.0136,1.69,2,12.85,0
M00283,Fashion,961,3182,5189.45,16512842.03,0.0955,0.0242,28.22,2,55.47,0
M00284,Travel,1114,1125,4269.22,4802869.18,0.0527,0.0719,-28.91,2,56.47,0
M00285,Education,708,3028,204.7,619838.92,0.0492,0.013,-20.37,3,39.97,0
M00286,Crypto/Trading,122,2181,1796.06,3917212.7,0.0837,0.0337,-15.49,2,53.16,0
M00287,Retail,11,173,2966.08,513131.46,0.0918,0.0267,54.58,0,84.02,1
M00288,Crypto/Trading,651,3719,1601.93,5957581.82,0.058,0.0077,12.06,2,38.21,0
M00289,Fashion,229,4430,8196.06,36308547.01,0.1786,0.0115,-21.07,5,69.69,1
